"","year4","month","group_code","abundance"
"1",2008,5,"CLAD",186783.418983615
"2",2008,6,"CLAD",4229685.58350025
"3",2008,7,"CLAD",1353843.98183925
"4",2008,8,"CLAD",709444.558993032
"5",2009,5,"CLAD",741322.292113115
"6",2009,6,"CLAD",4063264.28721801
"7",2009,7,"CLAD",1669761.64063679
"8",2009,8,"CLAD",1194378.04828108
"9",2010,5,"CLAD",1083590.99334774
"10",2010,6,"CLAD",680414.597603558
"11",2010,7,"CLAD",112340.237046053
"12",2010,8,"CLAD",405188.022055775
"13",2011,5,"CLAD",834395.944236904
"14",2011,6,"CLAD",296346.654996544
"15",2011,7,"CLAD",295085.005604427
"16",2011,8,"CLAD",203898.577117864
